source,title,make,model,variant,year,age,price_pkr,price_in_lacs,mileage_km,registered_city,engine_cc,transmission,fuel_type,url,image_url,description,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,seals_intact,accidental,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,is_total_genuine
OLX Pakistan,Suzuki Cultus VXRI 2015 ORIGNAL CONDITION 03102619127,Suzuki,Cultus,VXR,2015,9,1395000,13.95,50000,Karachi,1000,Manual,Petrol,https://www.olx.com.pk/item/suzuki-cultus-vxri-2015-orignal-condition-03102619127-iid-1119578019,https://images.olx.com.pk/thumbnails/647368637-400x300.jpeg,"Featured | Rs 13.95 Lacs | Suzuki Cultus VXRI 2015 ORIGNAL CONDITION 03102619127 | 2015 | • | New | • | Petrol | Royal 8 Icon, Karachi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,TOYOTA FORTUNER GR 2024 Model,Toyota,Fortuner,Standard,2024,0,19800000,198.0,64000,Lahore,2800,Manual,Petrol,https://www.olx.com.pk/item/toyota-fortuner-gr-2024-model-iid-1119565347,https://images.olx.com.pk/thumbnails/647293323-400x300.jpeg,Car of the Week | Rs 1.98 Crore | TOYOTA FORTUNER GR 2024 Model | TOYOTA FORTUNER GR - Model Dec 2024 / Registered 2025 Condition: - Total Original Paint - Scratchless Condition - 2nd Owner - Smart Ca,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Mitsubishi Pajero 1998/2008 Model,Toyota,Corolla,Standard,1998,26,894000,8.94,12345,Lahore,1300,Manual,Petrol,https://www.olx.com.pk/item/mitsubishi-pajero-19982008-model-iid-1119693339,https://images.olx.com.pk/thumbnails/648053491-400x300.jpeg,"Featured | Rs 8.94 Lac | Mitsubishi Pajero 1998/2008 Model | 1998 | • | 12,345 km | • | Petrol | Alfalah Town, Lahore | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Toyota Mark II 2002,Toyota,Corolla,Standard,2002,22,2150000,21.5,85000,Karachi,1300,Manual,Petrol,https://www.olx.com.pk/item/toyota-mark-ii-2002-iid-1119656391,https://images.olx.com.pk/thumbnails/647834429-400x300.jpeg,"Featured | Rs 21.50 Lacs | Toyota Mark II 2002 | 2002 | • | 85,000 km | • | Petrol | Gulshan-e-Iqbal Town, Karachi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Nissan Dayz 2015 Roox Highwaystar,Nissan,Dayz,Standard,2015,9,2000000,20.0,12345,Karachi,660,Manual,Petrol,https://www.olx.com.pk/item/nissan-dayz-2015-roox-highwaystar-iid-1119693978,https://images.olx.com.pk/thumbnails/648057162-400x300.jpeg,"Featured | Rs 20 Lacs | Nissan Dayz 2015 Roox Highwaystar | 2016 | • | 12,345 km | • | Petrol | Tariq Road, Karachi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Toyota Vitz 2007/2012 original 1300cc own engine F/L package push star,Toyota,Vitz,Standard,2007,17,2425000,24.25,90000,Karachi,1000,Manual,Petrol,https://www.olx.com.pk/item/toyota-vitz-20072012-original-1300cc-own-engine-fl-package-push-star-iid-1119693799,https://images.olx.com.pk/thumbnails/648056160-400x300.jpeg,"Featured | Rs 24.25 Lacs | Toyota Vitz 2007/2012 original 1300cc own engine F/L package push star | 2007 | • | 90,000 km | • | Petrol | DHA Phase 5, Karachi | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,Toyota Corolla GLI 2013 VVT-i 1.3,Toyota,Corolla,Standard,2013,11,3250000,32.5,115006,Lahore,1300,Manual,Petrol,https://www.olx.com.pk/item/toyota-corolla-gli-2013-vvt-i-13-iid-1119430893,https://images.olx.com.pk/thumbnails/646482843-400x300.jpeg,"Featured | Rs 32.50 Lacs | Toyota Corolla GLI 2013 VVT-i 1.3 | 2013 | • | 115,006 km | • | Petrol | Johar Town Phase 1, Lahore | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,KIA Sportage Alpha 2021,KIA,Sportage,Standard,2021,3,5785000,57.85,60300,Lahore,2000,Manual,Petrol,https://www.olx.com.pk/item/kia-sportage-alpha-2021-iid-1119359899,https://images.olx.com.pk/thumbnails/646063601-400x300.jpeg,"Featured | Rs 57.85 Lacs | KIA Sportage Alpha 2021 | 2021 | • | 60,300 km | • | Petrol | New Garden Town, Lahore | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,MG HS 2023,MG,HS,Standard,2023,1,6450000,64.5,54998,Lahore,1300,Manual,Petrol,https://www.olx.com.pk/item/mg-hs-2023-iid-1119291184,https://images.olx.com.pk/thumbnails/645655754-400x300.jpeg,"Featured | Rs 64.50 Lacs | MG HS 2023 | 2023 | • | 54,998 km | • | Petrol | Gulberg 2, Lahore | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
OLX Pakistan,suzuki swift urgent sale,Suzuki,Swift,Standard,2012,12,1850000,18.5,185000,Lahore,1300,Manual,Petrol,https://www.olx.com.pk/item/suzuki-swift-urgent-sale-iid-1119268050,https://images.olx.com.pk/thumbnails/645512576-400x300.jpeg,"Featured | Rs 18.50 Lacs | suzuki swift urgent sale | 2012 | • | 185,000 km | • | Petrol | Others, Burewala | • | 4 hours ago | Call | Chat",genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
