source,title,make,model,variant,year,age,price_pkr,price_in_lacs,mileage_km,registered_city,engine_cc,transmission,fuel_type,url,image_url,description,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,seals_intact,accidental,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,is_total_genuine
PakWheels,Proton X70  2022 Premium FWD for Sale,Proton,X70,FWD,2022,2,5200000,52.0,42000,Karachi,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/proton-x70-2022-for-sale-in-karachi-12044601,https://cache2.pakwheels.com/ad_pictures/1521/tn_proton-x70-premium-fwd-2022-152142456.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Daihatsu Mira  2014 L for Sale,Daihatsu,Mira,Standard,2014,10,2350000,23.5,74576,Karachi,660,Automatic,Petrol,https://www.pakwheels.com/used-cars/daihatsu-mira-2014-for-sale-in-karachi-11858453,https://cache3.pakwheels.com/ad_pictures/1492/tn_daihatsu-mira-x-8-2014-149286683.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Premio  2010 F 1.5 for Sale,Toyota,Corolla,Standard,2010,14,3700000,37.0,97536,Karachi,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-premio-2010-for-sale-in-karachi-11818975,https://cache4.pakwheels.com/ad_pictures/1486/tn_toyota-premio-1-5l-f-2010-148685572.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Hyundai Santro  2004 Exec for Sale,Hyundai,Corolla,Standard,2004,20,1100000,11.0,144000,Lahore,1000,Manual,Petrol,https://www.pakwheels.com/used-cars/hyundai-santro-2004-for-sale-in-lahore-12044595,https://cache1.pakwheels.com/ad_pictures/1521/tn_hyundai-santro-exec-2-2004-152142356.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Haval H6  2025 1.5T for Sale,Haval,H6,Standard,2025,0,9500000,95.0,17100,Lahore,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/haval-h6-2025-for-sale-in-lahore-12044301,https://cache2.pakwheels.com/ad_pictures/1521/tn_haval-h6-1-5t-2025-152137907.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,DFSK Glory 580  2021 Pro for Sale,DFSK,Glory,Standard,2021,3,4000000,40.0,73135,Multan,1500,Automatic,Petrol,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-multan-12029680,https://cache3.pakwheels.com/ad_pictures/1519/tn_dfsk-glory-580-pro-2021-151916988.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Toyota Prius  2017 PHV (Plug In Hybrid) for Sale,Toyota,Prius,Standard,2017,7,7550000,75.5,67743,Rawalpindi,1800,Automatic,Petrol,https://www.pakwheels.com/used-cars/toyota-prius-2017-for-sale-in-rawalpindi-11974952,https://cache4.pakwheels.com/ad_pictures/1510/tn_toyota-prius-phv-plug-in-hybrid-2017-151074010.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,Honda,Civic,Oriel 1.8,2021,3,6200000,62.0,54500,Lahore,1800,Automatic,Petrol,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-12025385,https://cache1.pakwheels.com/ad_pictures/1518/tn_honda-civic-oriel-1-8-i-vtec-cvt-2021-151851403.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,Honda,City,i-VTEC,2018,6,3850000,38.5,100360,Islamabad,1300,Automatic,Petrol,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-12044666,https://cache2.pakwheels.com/ad_pictures/1521/tn_honda-city-i-vtec-prosmatec-2018-152143398.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
PakWheels,Daihatsu Mira  2012 ES for Sale,Daihatsu,Mira,ES,2012,12,2320000,23.2,86000,Karachi,660,Automatic,Petrol,https://www.pakwheels.com/used-cars/daihatsu-mira-2012-for-sale-in-karachi-11958785,https://cache1.pakwheels.com/ad_pictures/1508/tn_daihatsu-mira-es-2012-150819227.webp,,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,0,0,0,1
